method,policy,fold_id,condition,evidence_role,heldout_pair_f1,overall_pair_f1,seen_pair_f1,presence_f1,presence_ap,oracle_stage2_f1,aspect_threshold,runner_up_threshold,selected_review_aspects,two_sentiment_instances
e5_base_v2,review_filtered,l2-a11,D,structural_invariance_not_independent_replication,0.20388349514563106,0.327419717044689,0.3334118201083118,0.23529411764705882,0.20481946588084854,0.8737864077669902,0.871234253049,0.890274509788,2403,192
e5_base_v2,review_filtered,l2-a11,N,structural_invariance_not_independent_replication,0.18110236220472442,0.32481670739835594,0.3334118201083118,0.2134387351778656,0.20695883817994176,0.6796116504854369,0.871234253049,0.890274509788,2452,191
e5_base_v2,review_filtered,l2-a12,D,structural_invariance_not_independent_replication,0.2636103151862464,0.32733003151733453,0.33276325433667236,0.36470588235294116,0.33272703177519247,0.6996197718631179,0.871234253049,0.890546113253,2403,181
e5_base_v2,review_filtered,l2-a12,N,structural_invariance_not_independent_replication,0.30994152046783624,0.3310033821871477,0.33276325433667236,0.38823529411764707,0.39416100818191396,0.8093385214007782,0.871234253049,0.890546113253,2403,174
e5_base_v2,label_masked_all_reviews,l2-a01,D,structural_invariance_not_independent_replication,0.2222222222222222,0.327419717044689,0.3337300642704118,0.3829787234042553,0.4312634924419913,0.6781609195402298,0.871234253049,0.890274509788,2403,192
e5_base_v2,label_masked_all_reviews,l2-a01,N,structural_invariance_not_independent_replication,0.12396694214876033,0.32230474904343914,0.3337300642704118,0.29045643153526973,0.30487169407844156,0.6296296296296297,0.871234253049,0.890274509788,2409,176
e5_base_v2,label_masked_all_reviews,l2-a02,D,structural_invariance_not_independent_replication,0.08391608391608392,0.32740373789687005,0.3355048859934853,0.1267605633802817,0.11297531717035601,0.8604651162790697,0.871293872595,0.890274509788,2391,192
e5_base_v2,label_masked_all_reviews,l2-a02,N,structural_invariance_not_independent_replication,0.14465408805031446,0.3223570190641248,0.3355048859934853,0.18238993710691823,0.12820352724859305,0.813953488372093,0.871293872595,0.890274509788,2567,191
e5_base_v2,label_masked_all_reviews,l2-a03,D,structural_invariance_not_independent_replication,0.1700404858299595,0.32098765432098764,0.34405940594059403,0.18661257606490872,0.47887481194604375,0.8154613466334164,0.874612987041,0.890274509788,1677,191
e5_base_v2,label_masked_all_reviews,l2-a03,N,structural_invariance_not_independent_replication,0.3092436974789916,0.3386464593676509,0.34405940594059403,0.327150084317032,0.49514819901479057,0.8678304239401496,0.874612987041,0.890274509788,1777,192
e5_base_v2,label_masked_all_reviews,l2-a04,D,structural_invariance_not_independent_replication,0.0933852140077821,0.32674571805006586,0.3407028159180824,0.11023622047244094,0.14045414207141932,0.7272727272727273,0.870890378952,0.890274509788,2504,192
e5_base_v2,label_masked_all_reviews,l2-a04,N,structural_invariance_not_independent_replication,0.06419753086419754,0.31688643130582733,0.3407028159180824,0.10396039603960396,0.15215566853768872,0.6363636363636364,0.870890378952,0.890274509788,2654,190
e5_base_v2,label_masked_all_reviews,l2-a05,D,structural_invariance_not_independent_replication,0.40229885057471265,0.3271135683022345,0.3205609817180065,0.47761194029850745,0.5434884908579689,0.8016194331983806,0.871234253049,0.895632982254,2403,80
e5_base_v2,label_masked_all_reviews,l2-a05,N,structural_invariance_not_independent_replication,0.39322033898305087,0.3255597014925373,0.3205609817180065,0.43389830508474575,0.4684393698689438,0.8135593220338984,0.871234253049,0.895632982254,2363,67
e5_base_v2,label_masked_all_reviews,l2-a06,D,structural_invariance_not_independent_replication,0.47350620067643745,0.3225806451612903,0.2786885245901639,0.6512758201701093,0.7661503619145819,0.7382146439317954,0.873567178845,0.889242589474,1855,224
e5_base_v2,label_masked_all_reviews,l2-a06,N,structural_invariance_not_independent_replication,0.5524974515800204,0.34532374100719426,0.2786885245901639,0.7190775681341719,0.7812786720285162,0.7617065556711758,0.873567178845,0.889242589474,1986,187
e5_base_v2,label_masked_all_reviews,l2-a07,D,structural_invariance_not_independent_replication,0.42748091603053434,0.3260329645518176,0.29954441913439633,0.5838084378563284,0.598520749180618,0.7532097004279601,0.870890378952,0.897339880466,2504,67
e5_base_v2,label_masked_all_reviews,l2-a07,N,structural_invariance_not_independent_replication,0.48903508771929827,0.33860759493670883,0.29954441913439633,0.5567928730512249,0.5427488080524622,0.85,0.870890378952,0.897339880466,2525,41
e5_base_v2,label_masked_all_reviews,l2-a08,D,structural_invariance_not_independent_replication,0.11976047904191617,0.32740373789687005,0.33551708001871783,0.12048192771084337,0.19328688483151335,0.796812749003984,0.871293872595,0.890274509788,2391,192
e5_base_v2,label_masked_all_reviews,l2-a08,N,structural_invariance_not_independent_replication,0.16766467065868262,0.3292051339788336,0.33551708001871783,0.18072289156626506,0.2702071931561488,0.7569721115537849,0.871293872595,0.890274509788,2391,192
e5_base_v2,label_masked_all_reviews,l2-a09,D,structural_invariance_not_independent_replication,0.0903954802259887,0.3273462056578357,0.337152209492635,0.10650887573964497,0.3336223528098845,0.7096774193548387,0.871232837439,0.890274509788,2404,192
e5_base_v2,label_masked_all_reviews,l2-a09,N,structural_invariance_not_independent_replication,0.06896551724137931,0.32335329341317365,0.337152209492635,0.09565217391304348,0.31701985123206183,0.7142857142857143,0.871232837439,0.890274509788,2465,186
e5_base_v2,label_masked_all_reviews,l2-a10,D,structural_invariance_not_independent_replication,0.11570247933884298,0.327419717044689,0.3333333333333333,0.14035087719298245,0.09172773290337477,0.7222222222222222,0.871234253049,0.890274509788,2403,192
