method_id,evidence_role,fold_id,condition,score_sha256,heldout_pair_micro_f1,overall_pair_micro_f1,seen_pair_micro_f1,heldout_pair_precision,heldout_pair_recall,heldout_presence_f1,heldout_presence_ap,oracle_gated_sentiment_set_micro_f1,maximum_sentiments_per_selected_aspect,aspect_call_rate,selected_aspect_instances,test_contract_count
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a04,N,d0bd9c868c44c4a957406256fc81871e6fd8091d818a4a7a8167e5154d798863,0.12307692307692308,0.5903128153380424,0.5981020774557579,0.09302325581395349,0.18181818181818182,0.15625,0.09003355916556284,0.6666666666666666,2,0.16256701356039105,2062,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a04,D,7fc0758b0c5e3a08a2d25a84f3badd3d8d9b029ed08f39cf285d52c0428f7705,0.13432835820895522,0.5852202040308534,0.6007722007722007,0.08035714285714286,0.4090909090909091,0.22556390977443608,0.37912842922019196,0.6363636363636364,2,0.16690318511510566,2117,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a04,N,db7d451c111f8c8c2403bd02a888b7bf33863caf6b6cff5cf224a369c6393979,0.08955223880597014,0.5910010111223458,0.5996400102854205,0.06666666666666667,0.13636363636363635,0.12121212121212122,0.08826058850754907,0.6666666666666666,2,0.1620151371807001,2055,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a05,D,e5f4a84a3a458a263607bd51fa65da116d3bde6aa0d73824ac60084692148b00,0.4444444444444444,0.5718592964824121,0.5772655840754322,0.8181818181818182,0.3050847457627119,0.4444444444444444,0.5819747386592108,0.9152542372881356,1,0.16729738252917062,2122,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a05,D,ec38c6841768bdb9a663d15dad9a41f76ed9a0b5d0152ab6737f684a0873436d,0.6060606060606061,0.5134565878773695,0.5073584435021202,0.547945205479452,0.6779661016949152,0.7272727272727273,0.7291694984643005,0.7401574803149606,2,0.17052980132450332,2163,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a05,N,7fa47d4d5ea2b56e4eb6f368a5292d92b454ce6508fbaa1ad4bafc526efdc601,0.445859872611465,0.5720754716981132,0.5772655840754322,0.8974358974358975,0.2966101694915254,0.445859872611465,0.6365452244286667,0.923728813559322,1,0.16690318511510566,2117,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a05,N,f33d1b5fc96ad23a3a383c54afe883711c89ba03dbb5c4436c015d1aba93cd10,0.6540284360189573,0.5146919431279621,0.5073584435021202,0.7419354838709677,0.5847457627118644,0.7024390243902439,0.7426880562881354,0.8548387096774194,2,0.16761274046042257,2126,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a05,D,6f537434f8441590b3745606f4d49144dff2795594d7181feba1b8cfef2c266e,0.7295081967213115,0.5994536876086417,0.5910652920962199,0.7063492063492064,0.7542372881355932,0.7377049180327869,0.7561616600659945,0.9152542372881356,1,0.17100283822138126,2169,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a05,N,df4d7ebb19a4d2abfb1336a30f0b12eccad42168fb1b66ab161fc2fa3eb32e92,0.6764705882352942,0.5959040959040959,0.5915789473684211,0.8023255813953488,0.5847457627118644,0.7058823529411765,0.7789812902932953,0.923728813559322,1,0.16918953011668245,2146,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a05,D,94ff35f9329f2c69b8970fb1a5a94528e4eff63d2fe9d5578f65129061384037,0.7355371900826446,0.6025062656641604,0.5939167556029883,0.717741935483871,0.7542372881355932,0.743801652892562,0.7498507785205742,0.9152542372881356,1,0.16808577735730054,2132,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a05,N,47cbcd2164f2dae8942db0283b946f7e9b7e66c3d35f5894870b25cd29885749,0.6865671641791045,0.5977822580645161,0.5930448632864348,0.8313253012048193,0.5847457627118644,0.7164179104477612,0.7772918227550754,0.923728813559322,1,0.1663513087354147,2110,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a06,D,046090d46d26968c3ce9667d756e8ebf5afa0be0a45c1afb7f7711caee71e3fc,0.7080213903743315,0.5660759493670886,0.5220563847429519,0.722707423580786,0.6939203354297694,0.8120950323974082,0.8043709722534582,0.8465608465608465,1,0.16493219804478082,2092,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a06,D,d9a8c64d2f9f0a0f5fcd1a32b0f5b5a3ec1bfbefec412957340a9e022c038821,0.3167420814479638,0.5134078212290503,0.5581076448405896,0.5645161290322581,0.22012578616352202,0.3889739663093415,0.6325490154923451,0.7447257383966245,2,0.13489435509303058,1711,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a06,N,10792d7ba8c8d44cd73c54c4204962360aaf6006e568a18459105a4475f587ae,0.7128953771289538,0.5629397967161845,0.5220563847429519,0.8492753623188406,0.6142557651991615,0.8044280442804428,0.9076150844660285,0.8592592592592593,1,0.15602333648691263,1979,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a06,N,20f6386940de5e3ef8a87b8994495e8faf25275718e906b2b9d9d6898c4090e3,0.23183391003460208,0.5041487839771102,0.5581076448405896,0.6633663366336634,0.14046121593291405,0.2601054481546573,0.5238556502575304,0.8236536430834214,2,0.1282718385367392,1627,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a06,D,4e1254fa215f8d6207c6a1e9e7a22a6afffb6ab74f34dd3b4f112d7b5b590b47,0.39349112426035504,0.5511160099200881,0.5871994581781239,0.6683417085427136,0.27882599580712786,0.41679160419790107,0.643601316683177,0.8465608465608465,1,0.13962472406181015,1771,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a06,N,7c0bc1243ba0669abe3bf221b135af6a3321dcc87ce715085fa8437fdcc7df24,0.2687074829931973,0.5330321852060983,0.5856465809072444,0.7117117117117117,0.16561844863731656,0.27288428324697755,0.5300758543532789,0.8592592592592593,1,0.13276568905707978,1684,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a06,D,b8ae8d7895cd58c9f848374e63d081dd67910ee34e4b0029f6e26380a36e7cdc,0.39349112426035504,0.5520862116606797,0.5885151206252124,0.6683417085427136,0.27882599580712786,0.41679160419790107,0.6431307392305614,0.8465608465608465,1,0.13883632923368022,1761,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a06,N,3393129ebb5406fb0233d209ff6099401eb414003e9cf33b910b45b82bc9637d,0.2657580919931857,0.5329934862645143,0.5862771739130435,0.7090909090909091,0.16352201257861634,0.2698961937716263,0.5302796342781442,0.8592592592592593,1,0.13189845474613687,1673,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a07,D,b75089deb19aa8cad5ac4553b3287bdd1b5d1a813586474d6866a645a9c16d8a,0.5728643216080402,0.5869409232241091,0.5902511078286559,0.49673202614379086,0.6765578635014837,0.6060606060606061,0.5608483388567067,0.9228486646884273,2,0.18267108167770418,2317,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a07,D,ac831439882b3b85b350915edce78212358373ed835b66560d2aced2be1f8f46,0.631432545201669,0.5481277280036756,0.5316455696202531,0.5942408376963351,0.6735905044510386,0.6610644257703081,0.6456338044347922,0.827893175074184,2,0.19410280668558813,2462,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a07,N,a442a64a8f921ff75b9657d4d5ec8ce51a9e872dfb8d4e2bdd1fca857de20058,0.549618320610687,0.5815899581589958,0.5902511078286559,0.43448275862068964,0.7477744807121661,0.5842450765864332,0.49529060215635845,0.9226190476190477,2,0.1922894985808893,2439,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a07,N,842207652708ac39a90f0dd14836bf598b035320b2e6e6e3e6048e511eb63ef2,0.6225563909774436,0.5457083042568039,0.5316455696202531,0.6310975609756098,0.6142433234421365,0.6425339366515838,0.6582111703954521,0.9004457652303121,2,0.1900819930621255,2411,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a07,D,98a8150edb7b8fe59fe3312e4f535e37db0ca44c00facf3873ae60a88bbe9020,0.6075187969924812,0.5888527868032992,0.5851318944844125,0.6158536585365854,0.599406528189911,0.6283987915407855,0.6436396850372222,0.9228486646884273,2,0.1684799747713655,2137,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a07,N,1c19c883f2dee8bf909035607dd319be4c6cfcfe2415569e488062016efe7bf1,0.5842696629213483,0.5856603773584905,0.5859188544152745,0.6363636363636364,0.5400593471810089,0.5925925925925926,0.6471198864734791,0.9226190476190477,2,0.1665089877010407,2112,0
