protocol,level,condition,comparison,comparator_method,baseline_method,metric,fold_count,baseline_mean,comparator_mean,mean_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,improved_folds,tied_folds,worsened_folds,exact_sign_flip_p,holm_p_across_model_comparisons
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_presence_ap,12,0.5816516763748344,0.5338931476766898,-0.04775852869814457,-0.19756174042919525,0.08044291926478775,7,0,5,0.5478515625,0.5478515625
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_presence_f1,12,0.5617547266165214,0.46387744606343934,-0.09787728055308198,-0.23251548616658427,0.025974703215246617,5,0,7,0.19580078125,0.19580078125
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,heldout_sentiment_accuracy,12,0.8927396051395838,0.8541649354177715,-0.03857466972181226,-0.19965505268223885,0.06530866695227756,7,0,5,0.9189453125,1.0
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,oracle_pair_micro_f1,12,0.8298639044931396,0.8877592529349547,0.0578953484418151,0.010833570793583588,0.1105389418936712,9,1,2,0.048828125,0.146484375
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,oracle_top_one_sentiment_accuracy,12,0.8324504157420155,0.8864408772708697,0.053990461528854346,0.005403169935811316,0.10722008229521603,9,1,2,0.072265625,0.216796875
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,overall_pair_micro_f1,12,0.5455584669547168,0.5842151488793857,0.038656681924668965,0.019591557995432708,0.05857422198720441,11,0,1,0.0029296875,0.00390625
taxonomy_two_stage_formal_v2,L2,N,qwen_candidate_pair_qlora_minus_frozen_qwen_few_shot,qwen_candidate_pair_qlora,frozen_qwen_few_shot,seen_pair_micro_f1,12,0.5432483512143501,0.5930520079890415,0.049803656774691334,0.028875209008885166,0.07165629834061107,12,0,0,0.00048828125,0.00146484375
taxonomy_two_stage_formal_v2,L4,D,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,heldout_pair_micro_f1,3,0.17622930936150508,0.5614525886158757,0.3852232792543706,0.3453176179300028,0.44295086896215263,3,0,0,0.25,0.75
taxonomy_two_stage_formal_v2,L4,D,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,heldout_aspect_micro_f1,3,0.21089576394740717,0.6130492764722313,0.4021535125248241,0.33502455656126967,0.503404791929382,3,0,0,0.25,0.75
taxonomy_two_stage_formal_v2,L4,D,frozen_qwen_few_shot_minus_distilbert_review_candidate_cross_encoder,frozen_qwen_few_shot,distilbert_review_candidate_cross_encoder,heldout_presence_f1,3,0.25970220419306683,0.7378474962729107,0.47814529207984385,0.3740161353797717,0.6052473270666564,3,0,0,0.25,0.75
